aalen:	('aalɛnɛm', 'N;INS;SG')
	('aalɛɲiɛ', 'N;ESS;SG')
	('aalɛɲiɛ', 'N;VOC;SG')
	('aalɛn', 'N;ACC;SG')
	('aalɛn', 'N;NOM;SG')
	('aalɛnɔvʲi', 'N;DAT;SG')
	('aalɛnu', 'N;GEN;SG')
abaka:	('a b a t͡s ɛ', 'N;DAT;SG')
	('a b a t͡s ɛ', 'N;ESS;SG')
	('a b a k a x', 'N;ESS;PL')
	('a b a k a mʲ i', 'N;INS;PL')
	('a b a k ɔ̃', 'N;INS;SG')
	('a b a k a', 'N;NOM;SG')
	('a b a k ɛ', 'N;ACC;SG')
	('a b a kʲ i', 'N;ACC;PL')
	('a b a kʲ i', 'N;GEN;SG')
	('a b a kʲ i', 'N;NOM;PL')
	('a b a kʲ i', 'N;VOC;PL')
	('a b a k', 'N;GEN;PL')
	('a b a k ɔ m', 'N;DAT;PL')
	('abakɔ', 'N;VOC;SG')
abakus:	('a b a k u s a x', 'N;ESS;PL')
	('a b a k u s a mʲ i', 'N;INS;PL')
	('a b a k u s ɛ m', 'N;INS;SG')
	('a b a k u ɕ ɛ', 'N;ESS;SG')
	('a b a k u ɕ ɛ', 'N;VOC;SG')
	('a b a k u s', 'N;ACC;SG')
	('a b a k u s', 'N;NOM;SG')
	('a b a k u s ɔ m', 'N;DAT;PL')
	('a b a k u s ɔ vʲ i', 'N;DAT;SG')
	('a b a k u s u f', 'N;GEN;PL')
	('a b a k u s u', 'N;GEN;SG')
	('a b a k u s ɨ', 'N;ACC;PL')
	('a b a k u s ɨ', 'N;NOM;PL')
	('a b a k u s ɨ', 'N;VOC;PL')
abazja:	('abazjax', 'N;ESS;PL')
	('a b a z j a mʲ i', 'N;INS;PL')
	('a b a z j ɔ̃', 'N;INS;SG')
	('a b a z j a', 'N;NOM;SG')
	('a b a z j ɛ', 'N;ACC;PL')
	('a b a z j ɛ', 'N;ACC;SG')
	('a b a z j ɛ', 'N;NOM;PL')
	('a b a z j ɛ', 'N;VOC;PL')
	('a b a z j i', 'N;DAT;SG')
	('a b a z j i', 'N;ESS;SG')
	('a b a z j i', 'N;GEN;PL')
	('a b a z j i', 'N;GEN;SG')
	('a b a z j ɔ m', 'N;DAT;PL')
	('a b a z j ɔ', 'N;VOC;SG')
abażur:	('a b a ʐ u r a x', 'N;ESS;PL')
	('a b a ʐ u r a mʲ i', 'N;INS;PL')
	('a b a ʐ u r ɛ m', 'N;INS;SG')
	('a b a ʐ u r', 'N;ACC;SG')
	('a b a ʐ u r', 'N;NOM;SG')
	('a b a ʐ u r ɔ m', 'N;DAT;PL')
	('a b a ʐ u r ɔ vʲ i', 'N;DAT;SG')
	('a b a ʐ u r u f', 'N;GEN;PL')
	('a b a ʐ u r u', 'N;GEN;SG')
	('a b a ʐ u r ɨ', 'N;ACC;PL')
	('a b a ʐ u r ɨ', 'N;NOM;PL')
	('a b a ʐ u r ɨ', 'N;VOC;PL')
	('a b a ʐ u ʐ ɛ', 'N;ESS;SG')
	('a b a ʐ u ʐ ɛ', 'N;VOC;SG')
abdykacja:	('a b d ɨ k a t͡s j a x', 'N;ESS;PL')
	('a b d ɨ k a t͡s j a mʲ i', 'N;INS;PL')
	('a b d ɨ k a t͡s j ɔ̃', 'N;INS;SG')
	('a b d ɨ k a t͡s j a', 'N;NOM;SG')
	('a b d ɨ k a t͡s j ɛ', 'N;ACC;PL')
	('a b d ɨ k a t͡s j ɛ', 'N;ACC;SG')
	('a b d ɨ k a t͡s j ɛ', 'N;NOM;PL')
	('a b d ɨ k a t͡s j ɛ', 'N;VOC;PL')
	('a b d ɨ k a t͡s j i', 'N;DAT;SG')
	('a b d ɨ k a t͡s j i', 'N;ESS;SG')
	('a b d ɨ k a t͡s j i', 'N;GEN;PL')
	('a b d ɨ k a t͡s j i', 'N;GEN;SG')
	('a b d ɨ k a t͡s j ɔ m', 'N;DAT;PL')
	('a b d ɨ k a t͡s j ɔ', 'N;VOC;SG')
abecadło:	('a b ɛ t͡s a d ɛ w', 'N;GEN;PL')
	('a b ɛ t͡s a d w a x', 'N;ESS;PL')
	('a b ɛ t͡s a d w a mʲ i', 'N;INS;PL')
	('a b ɛ t͡s a d w a', 'N;ACC;PL')
	('a b ɛ t͡s a d w a', 'N;GEN;SG')
	('a b ɛ t͡s a d w a', 'N;NOM;PL')
	('a b ɛ t͡s a d w a', 'N;VOC;PL')
	('a b ɛ t͡s a d w ɛ m', 'N;INS;SG')
	('a b ɛ t͡s a d l ɛ', 'N;ESS;SG')
	('a b ɛ t͡s a d w ɔ m', 'N;DAT;PL')
	('a b ɛ t͡s a d w ɔ', 'N;ACC;SG')
	('a b ɛ t͡s a d w ɔ', 'N;NOM;SG')
	('a b ɛ t͡s a d w ɔ', 'N;VOC;SG')
	('a b ɛ t͡s a d w u', 'N;DAT;SG')
aberracja:	('a b ɛ r a t͡s j a x', 'N;ESS;PL')
	('a b ɛ r a t͡s j a mʲ i', 'N;INS;PL')
	('a b ɛ r a t͡s j ɔ̃', 'N;INS;SG')
	('a b ɛ r a t͡s j a', 'N;NOM;SG')
	('a b ɛ r a t͡s j ɛ', 'N;ACC;PL')
	('a b ɛ r a t͡s j ɛ', 'N;ACC;SG')
	('a b ɛ r a t͡s j ɛ', 'N;NOM;PL')
	('a b ɛ r a t͡s j ɛ', 'N;VOC;PL')
	('a b ɛ r a t͡s j i', 'N;DAT;SG')
	('a b ɛ r a t͡s j i', 'N;ESS;SG')
	('a b ɛ r a t͡s j i', 'N;GEN;PL')
	('a b ɛ r a t͡s j i', 'N;GEN;SG')
	('a b ɛ r a t͡s j ɔ m', 'N;DAT;PL')
	('a b ɛ r r a t͡s j ɔ', 'N;VOC;SG')
abiogeneza:	('a bʲ ɔ ɡ ɛ n ɛ z a x', 'N;ESS;PL')
	('a bʲ ɔ ɡ ɛ n ɛ z a mʲ i', 'N;INS;PL')
	('a bʲ ɔ ɡ ɛ n ɛ z ɔ̃', 'N;INS;SG')
	('a bʲ ɔ ɡ ɛ n ɛ z a', 'N;NOM;SG')
	('a bʲ ɔ ɡ ɛ n ɛ z ɛ', 'N;ACC;SG')
	('a bʲ ɔ ɡ ɛ n ɛ ʑ ɛ', 'N;DAT;SG')
	('a bʲ ɔ ɡ ɛ n ɛ ʑ ɛ', 'N;ESS;SG')
	('a bʲ ɔ ɡ ɛ n ɛ s', 'N;GEN;PL')
	('a bʲ ɔ ɡ ɛ n ɛ z ɔ m', 'N;DAT;PL')
	('a bʲ ɔ ɡ ɛ n ɛ z ɔ', 'N;VOC;SG')
	('a bʲ ɔ ɡ ɛ n ɛ z ɨ', 'N;ACC;PL')
	('a bʲ ɔ ɡ ɛ n ɛ z ɨ', 'N;GEN;SG')
	('a bʲ ɔ ɡ ɛ n ɛ z ɨ', 'N;NOM;PL')
	('a bʲ ɔ ɡ ɛ n ɛ z ɨ', 'N;VOC;PL')
abiturient:	('a bʲ i t u rʲ j ɛ n t͡ɕ ɛ', 'N;ESS;SG')
	('a bʲ i t u rʲ j ɛ n t͡ɕ ɛ', 'N;VOC;SG')
	('a bʲ i t u rʲ j ɛ n t͡ɕ i', 'N;NOM;PL')
	('a bʲ i t u rʲ j ɛ n t͡ɕ i', 'N;VOC;PL')
	('a bʲ i t u rʲ j ɛ n t a x', 'N;ESS;PL')
	('a bʲ i t u rʲ j ɛ n t a mʲ i', 'N;INS;PL')
	('a bʲ i t u rʲ j ɛ n t a', 'N;ACC;SG')
	('a bʲ i t u rʲ j ɛ n t a', 'N;GEN;SG')
	('a bʲ i t u rʲ j ɛ n t ɛ m', 'N;INS;SG')
	('a bʲ i t u rʲ j ɛ n t', 'N;NOM;SG')
	('a bʲ i t u rʲ j ɛ n t ɔ m', 'N;DAT;PL')
	('a bʲ i t u rʲ j ɛ n t ɔ vʲ i', 'N;DAT;SG')
	('a bʲ i t u rʲ j ɛ n t u f', 'N;ACC;PL')
	('a bʲ i t u rʲ j ɛ n t u f', 'N;GEN;PL')
ablacja:	('a b l a t͡s j a x', 'N;ESS;PL')
	('a b l a t͡s j a mʲ i', 'N;INS;PL')
	('a b l a t͡s j ɔ̃', 'N;INS;SG')
	('a b l a t͡s j a', 'N;NOM;SG')
	('a b l a t͡s j ɛ', 'N;ACC;PL')
	('a b l a t͡s j ɛ', 'N;ACC;SG')
	('a b l a t͡s j ɛ', 'N;NOM;PL')
	('a b l a t͡s j ɛ', 'N;VOC;PL')
	('a b l a t͡s j i', 'N;DAT;SG')
	('a b l a t͡s j i', 'N;ESS;SG')
	('a b l a t͡s j i', 'N;GEN;PL')
	('a b l a t͡s j i', 'N;GEN;SG')
	('a b l a t͡s j ɔ m', 'N;DAT;PL')
	('a b l a t͡s j ɔ', 'N;VOC;SG')
ablatyw:	('a b l a t ɨ v a x', 'N;ESS;PL')
	('a b l a t ɨ v a mʲ i', 'N;INS;PL')
	('a b l a t ɨ v ɛ m', 'N;INS;SG')
	('a b l a t ɨ vʲ ɛ', 'N;ESS;SG')
	('a b l a t ɨ vʲ ɛ', 'N;VOC;SG')
	('a b l a t ɨ f', 'N;ACC;SG')
	('a b l a t ɨ f', 'N;NOM;SG')
	('a b l a t ɨ v ɔ m', 'N;DAT;PL')
	('a b l a t ɨ v ɔ vʲ i', 'N;DAT;SG')
	('a b l a t ɨ v u f', 'N;GEN;PL')
	('a b l a t ɨ v u', 'N;GEN;SG')
	('a b l a t ɨ v ɨ', 'N;ACC;PL')
	('a b l a t ɨ v ɨ', 'N;NOM;PL')
	('a b l a t ɨ v ɨ', 'N;VOC;PL')
abnegat:	('a b n ɛ ɡ a t͡ɕ ɛ', 'N;ESS;SG')
	('a b n ɛ ɡ a t͡ɕ ɛ', 'N;VOC;SG')
	('a b n ɛ ɡ a t͡ɕ i', 'N;NOM;PL')
	('a b n ɛ ɡ a t͡ɕ i', 'N;VOC;PL')
	('a b n ɛ ɡ a t a x', 'N;ESS;PL')
	('a b n ɛ ɡ a t a mʲ i', 'N;INS;PL')
	('a b n ɛ ɡ a t a', 'N;ACC;SG')
	('a b n ɛ ɡ a t a', 'N;GEN;SG')
	('a b n ɛ ɡ a t ɛ m', 'N;INS;SG')
	('a b n ɛ ɡ a t', 'N;NOM;SG')
	('a b n ɛ ɡ a t ɔ m', 'N;DAT;PL')
	('a b n ɛ ɡ a t ɔ vʲ i', 'N;DAT;SG')
	('a b n ɛ ɡ a t u f', 'N;ACC;PL')
	('a b n ɛ ɡ a t u f', 'N;GEN;PL')
abonament:	('a b ɔ n a m ɛ n t͡ɕ ɛ', 'N;ESS;SG')
	('a b ɔ n a m ɛ n t͡ɕ ɛ', 'N;VOC;SG')
	('a b ɔ n a m ɛ n t a x', 'N;ESS;PL')
	('a b ɔ n a m ɛ n t a mʲ i', 'N;INS;PL')
	('a b ɔ n a m ɛ n t ɛ m', 'N;INS;SG')
	('a b ɔ n a m ɛ n t', 'N;ACC;SG')
	('a b ɔ n a m ɛ n t', 'N;NOM;SG')
	('a b ɔ n a m ɛ n t ɔ m', 'N;DAT;PL')
	('a b ɔ n a m ɛ n t ɔ vʲ i', 'N;DAT;SG')
	('a b ɔ n a m ɛ n t u f', 'N;GEN;PL')
	('a b ɔ n a m ɛ n t u', 'N;GEN;SG')
	('a b ɔ n a m ɛ n t ɨ', 'N;ACC;PL')
	('a b ɔ n a m ɛ n t ɨ', 'N;NOM;PL')
	('a b ɔ n a m ɛ n t ɨ', 'N;VOC;PL')
abonent:	('a b ɔ n ɛ n t͡ɕ ɛ', 'N;ESS;SG')
	('a b ɔ n ɛ n t͡ɕ ɛ', 'N;VOC;SG')
	('a b ɔ n ɛ n t͡ɕ i', 'N;NOM;PL')
	('a b ɔ n ɛ n t͡ɕ i', 'N;VOC;PL')
	('a b ɔ n ɛ n t a x', 'N;ESS;PL')
