	Consonantal	Sonorant	Labial	Round	Coronal	Anterior	Distributed	Dorsal	High	Low	Back	Voice	Continuant	Strident	Lateral	DelayedRelease	Nasal	Approximant	Tap	Trill	LabioDental	Front	Boundary
t	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	-
d	+	-	-	-	+	+	-	-	0	0	0	+	-	-	-	-	-	-	-	-	-	0	-
s	+	-	-	-	+	+	-	-	0	0	0	-	+	+	-	+	-	-	-	-	-	0	-
z	+	-	-	-	+	+	-	-	0	0	0	+	+	+	-	-	-	-	-	-	-	0	-
ʃ	+	-	-	-	+	-	+	-	0	0	0	-	+	+	-	+	-	-	-	-	-	0	-
ʒ	+	-	-	-	+	-	+	-	0	0	0	+	+	+	-	+	-	-	-	-	-	0	-
c	+	-	-	-	+	-	+	+	+	-	-	-	-	+	-	-	-	-	-	-	-	+	-
ɕ	+	-	-	-	+	+	+	+	+	-	-	-	+	+	-	+	-	-	-	-	-	+	-
ʑ	+	-	-	-	+	+	+	+	+	-	-	+	+	+	-	+	-	-	-	-	-	+	-
ʐ	+	-	-	-	+	-	-	-	0	0	0	+	+	+	-	-	-	-	-	-	-	0	-
ʂ	+	-	-	-	+	-	-	-	0	0	0	-	+	+	-	-	-	-	-	-	-	0	-
ɟ	+	-	-	-	+	-	+	+	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-
p	+	-	+	-	-	0	0	-	0	0	0	-	-	0	-	-	-	-	-	-	-	0	-
b	+	-	+	-	-	0	0	-	0	0	0	+	-	0	-	-	-	-	-	-	-	0	-
f	+	-	+	-	-	0	0	-	0	0	0	-	+	0	-	+	-	-	-	-	+	0	-
v	+	-	+	-	-	0	0	-	0	0	0	+	+	0	-	+	-	-	-	-	+	0	-
k	+	-	-	0	-	0	0	+	+	-	0	-	-	-	-	-	-	-	-	-	-	0	-
g	+	-	-	0	-	0	0	+	+	-	0	+	-	-	-	-	-	-	-	-	-	0	-
x	+	-	-	0	-	0	0	+	+	-	0	-	+	-	-	-	-	-	-	-	-	0	-
tʃ	+	-	-	-	+	-	+	0	0	0	0	-	-	+	-	+	-	-	-	-	-	0	-
dʒ	+	-	-	-	+	-	+	0	0	0	0	+	-	+	-	+	-	-	-	-	-	0	-
ts	+	-	-	-	+	+	-	0	0	0	0	-	-	+	-	+	-	-	-	-	-	0	-
m	+	+	+	-	-	0	0	-	0	0	0	+	-	0	-	0	+	-	-	-	-	0	-
n	+	+	-	-	+	+	-	-	0	0	0	+	-	-	-	0	+	-	-	-	-	0	-
ɲ	+	+	-	-	+	-	+	+	+	-	-	+	-	-	-	0	+	-	-	-	-	+	-
l	+	+	-	-	+	+	-	-	0	0	0	+	+	-	+	0	-	+	-	-	-	0	-
r	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	-
j	-	+	+	-	-	0	0	+	+	-	-	+	+	0	-	0	-	+	-	-	-	+	-
w	-	+	+	+	-	0	0	+	+	-	+	+	+	0	-	0	-	+	-	-	-	-	-
#	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+
